epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4549.08,0.9158,0.7134,1.08597,0.84641,0.65499,0.71484,0.46648,1.22761,0.73881,1.37206,0.000415633,0.000415633,0.000415633
2,10676.3,0.85289,0.50235,1.04005,0.84508,0.6536,0.71759,0.45782,1.24972,0.74748,1.41764,0.00082406,0.00082406,0.00082406
3,13187.3,0.82332,0.47676,1.02249,0.88956,0.65811,0.72665,0.47524,1.27158,0.71216,1.41623,0.00122424,0.00122424,0.00122424
4,16877.4,0.78432,0.43975,0.99849,0.85385,0.68902,0.73789,0.4756,1.29884,0.74018,1.40916,0.00121287,0.00121287,0.00121287
5,19800,0.74548,0.42102,0.98131,0.88228,0.66005,0.72873,0.47408,1.26923,0.70042,1.41097,0.0012005,0.0012005,0.0012005
6,23394.3,0.71507,0.40278,0.96611,0.88092,0.66478,0.73977,0.47396,1.29153,0.77197,1.44591,0.00118812,0.00118812,0.00118812
7,25852.6,0.69561,0.38849,0.96007,0.85369,0.67742,0.72063,0.46476,1.28135,0.71806,1.4207,0.00117575,0.00117575,0.00117575
8,29294.3,0.67212,0.37407,0.94603,0.89599,0.68155,0.75242,0.48969,1.28161,0.68817,1.43328,0.00116337,0.00116337,0.00116337
9,31854.9,0.65593,0.36375,0.94216,0.8897,0.68597,0.74402,0.48971,1.2871,0.71567,1.44042,0.001151,0.001151,0.001151
10,37643.3,0.64087,0.35311,0.93207,0.8937,0.64436,0.70792,0.46138,1.30752,0.71528,1.46206,0.00113863,0.00113863,0.00113863
11,40185.8,0.62416,0.34623,0.92511,0.87593,0.68808,0.74962,0.48029,1.31252,0.68679,1.45451,0.00112625,0.00112625,0.00112625
12,43846,0.60961,0.33633,0.91696,0.86449,0.68317,0.73003,0.47079,1.31007,0.71127,1.46174,0.00111388,0.00111388,0.00111388
13,46269.9,0.60302,0.33389,0.91553,0.87787,0.69311,0.75233,0.48634,1.31582,0.68794,1.48066,0.0011015,0.0011015,0.0011015
